id,name,synonyms
7315127,Pakistani Restaurant,"['Pakistani Cuisine', 'Pakistani Food']"
8099009,Pan,[]
9362008,Park,['Parkland']
9362009,Parkway,[]
9932002,Passenger Transport Ticket Office,"['Ticket Office', 'Ticket Counter']"
9361070,Pawn Shop,"['Pawnbroker', 'Pawnshop']"
9932003,Pedestrian Subway,"['Subway', 'Underpass']"
9663003,Personal Care Facility,[]
9663002,Personal Service,[]
7315061,Peruvian Restaurant,"['Peruvian Cuisine', 'Peruvian Food']"
9361064,Pet Supplies,"['Pet Shop', 'Pet Store']"
9352018,Pharmaceutical Company,['Drug Company']
9361046,Photo Lab/Development,"['Photo Developing', 'Photo Developers', 'Photo Studio', 'Photo Lab', 'Photo Development']"
9361047,Photocopy Shop,"['Photocopying Shop', 'Copiers', 'Xerox Shop', 'Photocopying', 'Copy Shop', 'Photocopiers']"
9362033,Picnic Area,['Picnic Ground']
7315036,Pizzeria,"['Pizza Parlor', 'Pizzaria', 'Pizza Restaurant', 'Pizza Shop', 'Pizza']"
8099007,Plain/Flat,[]
7376006,Planetarium,[]
8099008,Plateau,[]
7315037,Polish Restaurant,"['Polish Cuisine', 'Polish Food']"
7315129,Polynesian Restaurant,"['Polynesian Cuisine', 'Polynesian Food']"
7315038,Portuguese Restaurant,"['Portuguese Cuisine', 'Portuguese Food']"
7372004,Pre School,"['Kindergarten', 'Preschool', 'Nursery School', 'Pre-School']"
9362010,Preserve,[]
7335003,Primary Producer,[]
7372005,Primary School,"['Elementary School', 'Junior School']"
7383003,Private Airport,[]
9379003,Private Club,"[""Members' Club""]"
7315130,Provençal Restaurant,"['Provençal Food', 'Provençal Cuisine']"
9376003,Pub,['Public House']
7315039,Pub Food,"['Bar Snacks', 'Bar Food']"
7332003,Public Market,[]
7383002,Public Airport,[]
9932004,Public Call Box,"['Public Phone', 'PCO', 'Phone Booth', 'Phone Box', 'Public Telephone Box', 'Payphone', 'Telephone Box', 'Call Box']"
9352017,Public Health Technology Company,['Public Health Tech Company']
9352019,Publishing Technologies,['Publishing House']
8099026,Quarry,[]
7374013,Race Track,"['Raceway', 'Racing', 'Racing Track', 'Racecourse', 'Racetrack', 'Racing Circuit']"
7380006,Railroad Siding,['Railway Siding']
8099015,Rapids,[]
9352009,Real Estate Company,"['Commercial Property Agent', 'Real Estate', 'Land Agent', 'Real Estate Agent', 'Estate Agent', 'Real Estate Agency', 'Real Estate Agents', 'Real Estate Broker']"
9361015,Real Estate Agent,"['Commercial Property Agent', 'Realtor', 'Land Agent', 'Real Estate Broker', 'Estate Agent']"
9362011,Recreation Area,[]
7360002,Recreational Camping Ground,[]
9910005,Recreational Vehicle Dealer,"['Camper Van Dealer', 'RV Dealer', 'Motorhome Dealer', 'RV Sales', 'Caravan Dealer', 'Motorhome Sales', 'Recreational Vehicle Sales']"
9361057,Recycling Shop,"['Charity Shop', 'Thrift Store', 'Second-hand Shop']"
8099014,Reef,[]
8099013,Reservoir,[]
7303004,Residential Estate,['Residential Colony']
7314005,Resort,[]
7314008,Rest Camp,[]
9361063,Retail Outlet,[]
